district,doc,pre_date,cur_date,days,pre_read,cur_read,consumption,bill,obstcle,meter,Y,X,ID,flats,land_use,capacity,diameter
ناحيه روستايي گرگان,11488210,980601,960328,261,5680,13688,114,699405,nan,1399/05/30,,271223.511789,24122300,4,مسكوني,240,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,41187291,991018,990909,651,4382,8631,185,1294465,قرائت نشده,1397/09/25,4079323.67682,,45191300,20,مسكوني,24,0.75
ناحيه 8 گرگان,11479911,980411,990807,310,9704,1537,526,1082242,nan,1396/01/16,4079973.09389,274813.347256,24360200,42,مسكوني,72,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11330705,941020,990231,79,3675,6142,138,173623,از کار افتاده,1394/11/18,4082057.09976,36.846785,73341200,13,مسكوني,48,0.75
ناحيه روستايي گرگان,11152645,950607,981008,286,3582,8394,274,1325087,از کار افتاده,1390/12/02,,267614.567461,11112800,28,مسكوني,12,0.75
ناحيه روستايي گرگان,11319892,950501,980614,208,11373,2011,123,588166,از کار افتاده,1395/01/22,4080266.20646,36.8466083333333,36105000,21,مسكوني,11,0.75
ناحيه 6 گرگان,11171984,970422,950116,92,9432,23345,1080,657776,از کار افتاده,1395/01/11,,272354.417327,27088200,12,مسكوني,40,0.75
ناحيه 50 مراکز اداري دولتي ,11320211,950625,970704,362,7153,647,954,2076283,از کار افتاده,1395/03/29,4080754.07902,,14393300,5,مسكوني,36,0.75
ناحيه 2 گرگان,11561103,941111,981008,107,1059,2589,229,2447021,قرائت نشده,1397/03/11,4081919.95293,272660.343027,66511100,15,مسكوني,131,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,41111180,940728,970901,85,9890,1768,511,1109525,nan,1393/07/01,,272726.36485,11311400,15,مسكوني,80,0.75
املاک استيجاري اموزشي  ,11678655,960517,971121,78,6917,9409,2046,1631063,قرائت نشده,1396/10/27,4079212.99364,,27082000,10,مسكوني,51,0.75
ناحيه روستايي گرگان,11167022,990213,970711,332,8264,1899,171,353544,قرائت نشده,1399/11/15,,,11502158,1,مسكوني,18,0.75
ناحيه 8 گرگان,11673661,980816,970611,371,13120,7602,84,1522435,از کار افتاده,1397/08/03,4079245.75159,,14911001,14,مسكوني,48,0.75
ناحيه 9 گرگان,11292528,981210,950201,46,3052,12269,544,2376751,nan,1395/10/23,,,32754400,21,مسكوني,6,0.75
ناحيه 3 گرگان,11290576,960414,980219,745,16556,5790,345,248368,nan,1391/04/13,,,63406803,9,مسكوني,41,0.75
ناحيه 2 گرگان,11600451,950723,970705,573,3285,19131,166,244295,nan,1394/03/02,,272188.01501100004,16630500,5,مسكوني,11,0.75
ناحيه 50 مراکز اداري دولتي ,11427172,980207,990519,23,4057,4149,223,1588205,از کار افتاده,1397/07/23,4079306.38331,272156.96033200005,23802800,2,مسكوني,61,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11490583,941215,990204,255,10904,17280,342,1816890,nan,1396/05/25,4079186.89366,,51772855,13,مسكوني,13,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11200453,970419,980503,167,12722,9890,681,333152,قرائت نشده,1394/09/25,4080171.81036,,12236000,10,مسكوني,72,0.75
ناحيه 3 گرگان,11500031,941126,950919,42,16074,11843,265,1393485,nan,1397/12/07,4076830.34177,273349.300361,12267800,10,مسكوني,100,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11469746,951221,991002,249,18164,10766,188,284064,قرائت نشده,1390/05/27,,272106.135858,72112000,10,مسكوني,11,0.75
ناحيه روستايي گرگان,11309374,960602,950309,316,21531,566,595,423967,nan,1397/09/13,,,14061325,10,مسكوني,36,0.75
ناحيه 4 گرگان,11145533,990620,971222,166,6,3356,208,1623494,قرائت نشده,1389/11/13,,272210.208051,26482200,6,مسكوني,16,0.75
ناحيه 6 گرگان,11161466,951011,950222,296,4028,6765,484,2631413,nan,1396/07/16,,271494.376585,53116300,3,مسكوني,19,0.75
ناحيه 1 گرگان,41132195,960904,991028,287,11487,7947,636,150272,قرائت نشده,1397/08/20,,,14140100,1,مسكوني,37,0.75
ناحيه روستايي گرگان,11143271,980823,980711,219,7123,10020,172,178602,از کار افتاده,1398/06/14,,,16680100,17,مسكوني,9,0.75
ناحيه 8 گرگان,41148105,980328,960826,216,4075,1088,152,1132891,قرائت نشده,1398/09/16,54.3986116666666,,11503158,4,مسكوني,131,0.75
ناحيه 8 گرگان,11128531,940918,971104,283,10287,7133,315,362169,قرائت نشده,1391/07/06,,272084.65876,62357300,9,مسكوني,30,0.75
ناحيه 6 گرگان,11242741,970217,990231,39,18321,2021,97,926673,قرائت نشده,1391/07/26,4078794.04386,,33443600,4,مسكوني,58,0.75
ناحيه 9 گرگان,11432991,981008,951122,378,6368,10346,136,381492,قرائت نشده,1396/10/21,,274451.244764,14764800,21,مسكوني,0,0.75
ناحيه 7 گرگان,11640581,970126,970518,148,4956,829,904,556565,قرائت نشده,1396/08/30,,,16725500,11,مسكوني,66,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11608673,960515,990518,155,2338,7391,546,100739,از کار افتاده,1391/12/08,,272602.734737,14661801,9,مسكوني,65,0.75
ناحيه 1 گرگان,11495526,990421,970314,870,6873,3083,743,550588,از کار افتاده,1398/03/14,,,51046301,9,مسكوني,5,0.75
ناحيه 1 گرگان,41125369,971215,980727,369,6786,16183,817,1465535,nan,1391/12/19,,,36071400,13,مسكوني,35,0.75
ناحيه 50 مراکز اداري دولتي ,41132802,950728,970717,63,3169,8224,332,342161,nan,1398/03/19,,272617.687135,25314000,20,مسكوني,65,0.75
ناحيه 1 گرگان,11688610,990303,970626,237,14361,7021,503,1035866,از کار افتاده,1395/02/21,,,53103200,12,مسكوني,79,0.75
ناحيه 3 گرگان,11314297,980515,951013,125,2240,12894,563,927101,nan,1397/10/24,,,62550700,16,مسكوني,58,0.75
ناحيه روستايي گرگان,41144649,980703,961103,320,17673,9958,130,2636424,قرائت نشده,1397/10/11,,,42063100,18,مسكوني,198,0.75
ناحيه 6 گرگان,11109448,960806,990520,210,23698,9695,479,688129,از کار افتاده,1397/03/11,4081907.11045,272339.971181,16809000,17,مسكوني,10,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11502166,990917,950629,307,6520,5621,524,346359,از کار افتاده,1398/03/09,,,26453700,5,مسكوني,8,0.75
ناحيه 9 گرگان,41182214,990203,980328,256,3482,9930,19,297120,از کار افتاده,1390/02/06,4080896.65263,272589.44941,32584610,28,مسكوني,28,0.75
ناحيه 5 گرگان,41134341,960422,970913,209,4117,10712,329,143242,قرائت نشده,1389/12/17,4079010.6418,272224.366082,25005100,28,مسكوني,15,0.75
ناحيه 6 گرگان,11177036,980913,990327,168,22,10278,907,1150079,nan,1397/11/25,4076091.55272,,16563300,12,مسكوني,43,0.75
ناحيه 9 گرگان,11497952,970828,981117,152,24079,10798,235,295716,nan,1397/03/03,,272633.38467600005,61011300,28,مسكوني,63,0.75
ناحيه 4 گرگان,11240196,950408,991118,954,5603,2319,2,1516450,قرائت نشده,1393/02/29,4079392.58873,272636.250073,51130425,21,مسكوني,105,0.75
ناحيه 8 گرگان,11116631,950407,970801,181,7842,12700,230,1218010,از کار افتاده,1395/12/09,,,23120800,23,مسكوني,63,0.75
ناحيه 1 گرگان,11199404,980230,981122,140,13341,10309,499,1006274,nan,1398/06/27,,,23330100,11,مسكوني,27,0.75
ناحيه 3 گرگان,11504720,971005,980309,716,11153,7228,416,2205891,nan,1399/09/08,4082096.98466,270074.309487,15224700,8,مسكوني,30,0.75
ناحيه 2 گرگان,11455974,950907,980301,179,2676,23832,421,2731320,nan,1392/07/30,,,42761400,8,مسكوني,24,0.75
ناحيه 50 مراکز اداري دولتي ,41149586,980814,960418,42,13747,14076,464,588717,قرائت نشده,1393/12/24,,,16503200,17,مسكوني,70,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11341332,980711,971204,201,9723,2108,613,539768,nan,1399/11/06,4082085.22917,271909.50460700004,51851100,28,مسكوني,79,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11507982,970107,991107,47,2149,13039,318,2075283,از کار افتاده,1391/02/14,4079737.3795,,27060100,14,مسكوني,198,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11308742,981011,980519,63,3192,19359,174,132809,از کار افتاده,1393/08/30,4080465.61178,271872.835522,23820700,21,مسكوني,50,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,41118788,981211,960927,320,21992,10162,444,881689,قرائت نشده,1398/09/09,4081688.21172,272375.400027,23151500,9,مسكوني,77,0.75
ناحيه 9 گرگان,11600125,950211,960131,132,8139,18263,542,418451,قرائت نشده,1391/07/21,4079115.43968,,14182901,17,مسكوني,36,0.75
ناحيه 8 گرگان,41012769,961226,991006,607,4679,4774,374,972690,nan,1399/06/05,,,22050700,16,مسكوني,105,0.75
ناحيه 2 گرگان,61692241,980703,960331,15,6500,15739,338,280708,قرائت نشده,1396/12/23,4077752.97323,,61441000,18,مسكوني,51,0.75
ناحيه 6 گرگان,11244108,950301,990327,283,14136,14158,108,1286904,از کار افتاده,1391/05/11,,274075.391411,23251800,5,مسكوني,17,0.75
ناحيه 7 گرگان,11370162,970505,991116,184,74,39169,138,563022,از کار افتاده,1392/04/15,,272087.980152,23600901,10,مسكوني,23,0.75
ناحيه 5 گرگان,11142631,980631,960604,365,2429,6214,155,374686,قرائت نشده,1393/08/24,4079988.9509,,43042610,5,مسكوني,79,0.75
ناحيه 4 گرگان,11387995,960617,980526,194,702,2515,473,1118897,از کار افتاده,1395/07/04,,271974.74337399995,16786800,16,مسكوني,10,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11280023,960523,970419,97,6772,18179,2046,413772,از کار افتاده,1399/05/28,,,43032300,16,مسكوني,60,0.75
ناحيه روستايي گرگان,11276344,920117,981226,33,12580,16285,469,1442159,از کار افتاده,1391/12/11,4080897.4297,,41621800,3,مسكوني,61,0.75
ناحيه 6 گرگان,11668680,990323,950619,63,9109,10743,512,1773274,قرائت نشده,1395/04/17,4077278.85866,272286.32533,63414500,28,مسكوني,50,0.75
ناحيه 9 گرگان,11480545,991005,970621,187,7249,8714,873,641185,قرائت نشده,1392/07/01,,,16411900,20,مسكوني,13,0.75
ناحيه 1 گرگان,11575180,990507,980528,352,22456,9262,88,126479,قرائت نشده,1392/12/26,,,11453500,14,مسكوني,58,0.75
ناحيه 5 گرگان,11243811,960929,960206,65,2202,8294,437,377114,nan,1399/10/08,,,26202300,14,مسكوني,7,0.75
ناحيه 5 گرگان,11179161,940718,971114,105,7126,809,151,455174,nan,1392/07/07,,,42841200,16,مسكوني,77,0.75
ناحيه 1 گرگان,41175927,980524,991027,236,16402,3151,468,904052,nan,1396/12/15,,,14413400,20,مسكوني,11,0.75
املاک استيجاري اموزشي  ,11350285,941120,960816,239,4468,436,89,1312226,قرائت نشده,1399/09/29,4075691.44987,,16860801,7,مسكوني,77,0.75
ناحيه 3 گرگان,41190721,950608,990125,651,1516,11226,343,649905,nan,1397/01/25,,272128.821472,23321100,16,مسكوني,20,0.75
ناحيه 50 مراکز اداري دولتي ,11282484,950714,970217,143,21887,5749,242,855861,nan,1393/09/30,,270776.053548,65000206,10,مسكوني,9,0.75
ناحيه 5 گرگان,41143405,990123,950315,366,9820,4438,119,3555421,nan,1396/03/05,4080035.58752,272907.93327399995,62451200,20,مسكوني,24,0.75
ناحيه روستايي گرگان,11319353,951110,991029,373,4161,4856,444,147431,از کار افتاده,1391/07/06,,271966.885924,73351500,17,مسكوني,104,0.75
ناحيه 2 گرگان,41166014,970907,990903,85,9859,19412,602,815822,از کار افتاده,1392/11/13,,,24111600,13,مسكوني,30,0.75
ناحيه 3 گرگان,11348973,951015,961024,8,9991,2911,610,1215399,از کار افتاده,1395/11/25,,,46000056,12,مسكوني,18,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11160397,950223,980727,109,729,6146,557,304213,قرائت نشده,1399/07/13,4080433.98982,271961.758383,73390300,7,مسكوني,11,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,61690841,981022,990419,232,16508,5238,437,688144,قرائت نشده,1394/09/17,4080263.02368,,14381900,6,مسكوني,77,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11318471,961010,960825,104,7079,7901,72,567404,از کار افتاده,1394/01/20,4081839.49999,272138.366231,23150300,42,مسكوني,114,0.75
ناحيه 9 گرگان,11453238,970201,980514,53,2193,16518,159,399170,nan,1393/03/07,4079033.10557,,17849000,23,مسكوني,36,0.75
ناحيه 3 گرگان,11119931,990514,960801,54,6936,2879,127,535391,nan,1397/08/26,,,16430900,12,مسكوني,63,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11274325,990927,990719,99,1228,18325,407,223481,از کار افتاده,1399/06/05,,274231.026754,14242500,15,مسكوني,7,0.75
ناحيه 9 گرگان,11282069,950716,980523,96,3391,13617,19,4128366,nan,1394/03/19,,,17775100,18,مسكوني,17,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41140091,960625,960823,168,20089,11947,695,955705,از کار افتاده,1390/11/27,,,24121500,16,مسكوني,9,0.75
ناحيه 3 گرگان,11288504,940129,950106,185,20206,637,156,253819,nan,1396/03/09,4077215.80013,,12267500,2,مسكوني,60,0.75
ناحيه 7 گرگان,11101935,960402,990921,75,5868,15535,415,175986,از کار افتاده,1398/06/27,,,24010300,16,مسكوني,5,0.75
املاک استيجاري اموزشي  ,41122076,971123,961123,187,5094,13666,356,1179858,قرائت نشده,1395/05/17,,272496.235692,61461300,1,مسكوني,20,0.75
ناحيه 1 گرگان,11441469,971014,980713,144,15180,2490,218,576376,قرائت نشده,1396/07/25,,,51791100,20,مسكوني,12,0.75
ناحيه 8 گرگان,11532910,971107,950314,248,366,18588,270,900788,nan,1397/03/02,4079332.70967,,21732501,5,مسكوني,50,0.75
ناحيه 8 گرگان,41156493,961125,960403,2891,4758,10882,910,586565,قرائت نشده,1393/02/16,,,11150801,7,مسكوني,14,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11165399,961013,950819,108,9234,15917,582,356830,nan,1394/05/17,4076271.09868,,64506900,1,مسكوني,16,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11526154,941020,970507,18,8630,5289,262,638616,قرائت نشده,1391/03/03,,272629.305192,23293200,10,مسكوني,114,0.75
ناحيه 8 گرگان,11217631,961201,950302,185,8307,14787,2376,257953,قرائت نشده,1395/10/18,,274465.21145,15912100,18,مسكوني,8,0.75
املاک استيجاري اموزشي  ,41143154,980104,961118,224,2922,12004,206,855419,nan,1393/10/10,4078256.3661,273802.889425,51072300,20,مسكوني,104,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11274571,970914,981025,205,9249,3857,486,451952,قرائت نشده,1394/02/25,4078884.89662,,21621700,23,مسكوني,16,0.75
ناحيه روستايي گرگان,11590472,960525,950703,436,5408,3526,470,730700,از کار افتاده,1397/07/22,,,25032300,8,مسكوني,60,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11556029,950821,970418,48,5950,7421,476,273990,از کار افتاده,1391/09/27,4080668.255080001,,26351500,1,مسكوني,105,0.75
ناحيه 1 گرگان,11320017,980429,950602,135,3411,2311,403,959116,nan,1399/12/10,,,22320301,5,مسكوني,35,0.75
ناحيه 7 گرگان,11506161,980219,950930,90,11315,16642,336,1206072,قرائت نشده,1391/10/17,4081103.85903,271775.94650300004,16510900,8,مسكوني,104,0.75
ناحيه روستايي گرگان,11387341,950103,961106,2,7372,16045,547,300501,nan,1395/03/03,,,14714700,3,مسكوني,27,0.75
ناحيه 6 گرگان,11127161,990428,970213,160,12595,1515,95,957325,nan,1399/12/07,,273184.547443,16646700,24,مسكوني,105,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11192175,951021,950616,150,15557,6279,664,1106813,از کار افتاده,1390/09/22,,273522.02634,33123900,12,مسكوني,62,0.75
ناحيه 7 گرگان,11335863,951221,990216,55,7057,5525,566,434105,قرائت نشده,1395/07/03,,273791.595429,16862400,28,مسكوني,14,0.75
